Source Tables,,,,,,,,Output Tables (using source inputs),,,,,,,,
Output Table,Source Table,Source Column,Type,Used for Transformation,Mapping Scenario Type,Comments,,Output Table,Source Table,Source Column,Type,Business Rule,,,,
,T1052_ORD_CHLD_INC,BLIND_KEY,"DECIMAL(2,0)",,Default (Unused),,,,,,,,,,,
,,,,,,,,,,,,,,,,
VCMEM,T1082_CASE_PART,CASE_NUM,"Numb(6,0)",Y,Direct,,,,,,,,,,,
VCMEM,T1082_CASE_PART,MCI_NUM,"Numb(10,0)",Y,Business Rule,,,,,,,,,,,
VCMEM,T1082_CASE_PART,RELATION_CD,Char(4),Y,Business Rule,,,,,,,,,,,
VCMEM,T1082_CASE_PART,STATUS_CD,Char(1),Y,Business Rule,,,,,,,,,,,
,T1082_CASE_PART, TYP_CD ,CHAR(4),,Default (Unused),,,,,,,,,,,
,T1082_CASE_PART,FCR_RPTD_CD ,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1082_CASE_PART,MMAP_IND ,CHAR(1),,Default (Unused),,,,,,,,,,,
,,,,,,,,,,,,,,,,
VOBLE,VCMEM,MemberMci_IDNO,"Numb(10,0)",Y,Direct,,,,,,,,,,,
VLSUP,VMHIS,TypeWelfare_CODE,Char(1),Y,Direct,Default value based on the Case Type converted into VCASE. ,,,,,,,,,,
VLSUP,VOBLE,Case_IDNO,"Numb(6,0)",Y,Direct,,,,,,,,,,,
VLSUP,VOBLE,CheckRecipient_CODE,Char(1),Y,Direct,,,,,,,,,,,
VLSUP,VOBLE,CHECKRECIPIENT_ID,Char(10),Y,Direct,,,,,,,,,,,
VLSUP,VOBLE,ObligationSeq_NUMB,"Numb(2,0)",Y,Direct,,,,,,,,,,,
VLSUP,VOBLE,OrderSeq_NUMB,"Numb(2,0)",Y,Direct,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
